Country,Deaths_per_1Mpop,Date,Month_Key,Insolation_Average,Cloud_Fraction,CENTR_latitude,CENTR_longitude,LogDeaths_per_1Mpop,Month_Fct2020
Poland,38,2020-06-30,2020-06,355.34238398965516,0.1746633222057726,51.919438,19.145136,1.5797835966168101,Jun
Portugal,154,2020-06-30,2020-06,252.4984614892757,0.5844871793692802,39.399872,-8.224454,2.187520720836463,Jun
Romania,85,2020-06-30,2020-06,402.8492046979114,0.01029419711276929,45.943161,24.96676,1.9294189257142929,Jun
Serbia,31,2020-06-30,2020-06,384.11874939413633,0.027702206189346993,44.016521,21.005859,1.4913616938342726,Jun
Slovakia,5,2020-06-30,2020-06,378.6542365032694,0.04646739137419702,48.669026,19.699024,0.6989700043360189,Jun
Slovenia,53,2020-06-30,2020-06,334.07525713015826,0.23994871572806284,46.151241,14.995463,1.7242758696007892,Jun
Spain,606,2020-06-30,2020-06,258.31291680904184,0.6617788022201339,40.463667,-3.74922,2.782472624166286,Jun
Sweden,526,2020-06-30,2020-06,279.84183250907415,0.7821024479272847,60.128161,18.643501,2.7209857441537393,Jun
Switzerland,227,2020-06-30,2020-06,330.847848256429,0.40599999938988024,46.818188,8.227512,2.3560258571931225,Jun
UK,642,2020-06-30,2020-06,257.97946566298356,0.7657013560222464,55.378051,-3.435973,2.807535028068853,Jun
Ukraine,26,2020-06-30,2020-06,393.3502616087596,0.057715277869040925,48.379433,31.16558,1.414973347970818,Jun
Albania,54,2020-07-31,2020-07,322.051043510437,0.31977083429228514,41.153332,20.168331,1.7323937598229686,Jul
Austria,80,2020-07-31,2020-07,307.57899937485206,0.4515424241396514,47.516231,14.550072,1.9030899869919435,Jul
Belarus,59,2020-07-31,2020-07,343.0618735099843,0.14098669622999982,53.709807,27.953389,1.7708520116421442,Jul
Belgium,848,2020-07-31,2020-07,285.64171528816223,0.8531562495045364,50.503887,4.469936,2.9283958522567137,Jul
Bosnia_and_H,100,2020-07-31,2020-07,314.9116462360729,0.2990624993108213,43.915886,17.679076,2,Jul
Bulgaria,54,2020-07-31,2020-07,391.19349884033204,0.017690000167737405,42.733883,25.48583,1.7323937598229686,Jul
Croatia,35,2020-07-31,2020-07,305.68642081466373,0.36625980337460834,45.1,15.2,1.5440680443502757,Jul
Czechia,35,2020-07-31,2020-07,304.938261131004,0.40866296385173445,49.817492,15.472962,1.5440680443502757,Jul
Denmark,106,2020-07-31,2020-07,283.61517374139083,0.8678947370826152,56.26392,9.501785,2.0253058652647704,Jul
Estonia,52,2020-07-31,2020-07,302.2306333269392,0.324527777578046,58.595272,25.013607,1.7160033436347992,Jul
Finland,59,2020-07-31,2020-07,295.5026261475163,0.44414293811531336,61.92411,25.748151,1.7708520116421442,Jul
France,463,2020-07-31,2020-07,272.7373782629254,0.7665601234247366,46.227638,2.213749,2.6655809910179533,Jul
Germany,110,2020-07-31,2020-07,288.6201980728287,0.7287648655944042,51.165691,10.451526,2.041392685158225,Jul
Greece,19,2020-07-31,2020-07,374.76257271839887,0.17417795868092423,39.074208,21.824312,1.2787536009528289,Jul
Hungary,62,2020-07-31,2020-07,353.6143815782335,0.1224104935809234,47.162494,19.503304,1.792391689498254,Jul
